selector,label,model_type,base_row_order,persistent_parameters,dense_equivalent_parameters,persistent_parameter_fraction_of_dense,persistent_parameter_reduction_fraction,peak_allocated_bytes,peak_reserved_bytes,checkpoint_bytes,training_seconds,evaluation_seconds,checkpoint_seconds,wall_seconds,tokens_per_training_second,initial_validation_loss,final_validation_loss,best_validation_loss
dense,Dense,dense,,549158400,549158400,1.0,0.0,10811534848,11389632512,6591126257,277.23052703702706,9.014469932000793,3.713314052998612,289.9623062680039,3693.6769227554582,10.95423583984375,6.843830871582031,6.843830871582031
q64,Sheet Q64,thog2_sheet,64,48282112,549158400,0.08792019206116122,0.9120798079388388,1138386432,1371537408,579588857,830.903951036009,17.89607810000598,0.41316387300321367,849.2168622020035,1232.3927437379857,11.05128173828125,6.470158386230469,6.470158386230469
q128,Sheet Q128,thog2_sheet,128,57732608,549158400,0.10512924504113931,0.8948707549588607,1359803904,1595932672,692994873,847.8826933189121,18.685457584993856,0.4766115769962198,867.0482107049975,1207.7142369679734,10.99344482421875,6.454906463623047,6.454906463623047
q256,Sheet Q256,thog2_sheet,256,76633600,549158400,0.1395473510010955,0.8604526489989045,1792480768,1906311168,919806841,997.4447774979344,33.21058651801286,0.6676215860061347,1031.326795656998,1026.6232508316689,11.00213623046875,6.478035163879395,6.478035163879395
